"Store No.","Name","Latitude","Longitude","Address","Street","City","State","Zip_Code","County","Phone","Open Hours","URL","Provider","Category","Updated Date","Country","Status","Direction URL"
"179652","Waffle House #490","36.023206","-87.339946","2321 Hwy 46 S, Dickson, TN, 37055","2321 Hwy 46 S","Dickson","TN","37055","Dickson","615-441-1123","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/179652/waffle-house-490","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/2321+Hwy+46+S,+Dickson,+TN,+37055,+USA/"
"179834","Waffle House #185","36.184729","-86.297915","819 South Cumberland, Lebanon, TN, 37087","819 South Cumberland","Lebanon","TN","37087","Wilson","615-449-2459","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/179834/waffle-house-185","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/819+South+Cumberland,+Lebanon,+TN,+37087,+USA/"
"179825","Waffle House #1933","35.909595","-83.85227","7205 Chapman Highway, Knoxville, TN, 37920","7205 Chapman Highway","Knoxville","TN","37920","Knox","865-573-0533","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/179825/waffle-house-1933","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/7205+Chapman+Highway,+Knoxville,+TN,+37920,+USA/"
"179839","Waffle House #2187","35.7212","-84.0061","2118 Us Hwy 411 S, Maryville, TN, 37801","2118 Us Hwy 411 S","Maryville","TN","37801","Blount","865-233-0112","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/179839/waffle-house-2187","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/2118+Us+Hwy+411+S,+Maryville,+TN,+37801,+USA/"
"179489","Waffle House #1889","35.879838","-83.777879","10638 Chapman Hwy, Seymour, TN, 37865","10638 Chapman Hwy","Seymour","TN","37865","Sevier","865-577-6331","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/179489/waffle-house-1889","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/10638+Chapman+Hwy,+Seymour,+TN,+37865,+USA/"
"179814","Waffle House #2107","36.3092","-86.6021","241 East Main St, Hendersonville, TN, 37075","241 East Main St","Hendersonville","TN","37075","Sumner","615-822-7774","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/179814/waffle-house-2107","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/241+East+Main+St,+Hendersonville,+TN,+37075,+USA/"
"178569","Waffle House #1160","35.699983","-85.780751","1119 Smithville Hwy, Mcminnville, TN, 37110","1119 Smithville Hwy","Mcminnville","TN","37110","Warren","931-473-1160","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/178569/waffle-house-1160","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/1119+Smithville+Hwy,+Mcminnville,+TN,+37110,+USA/"
"178578","Waffle House #1236","35.20508993","-86.09373536","1848 Decherd Blvd, Decherd, TN, 37324","1848 Decherd Blvd","Decherd","TN","37324","Franklin","931-962-4682","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/178578/waffle-house-1236","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/1848+Decherd+Blvd,+Decherd,+TN,+37324,+USA/"
"178140","Waffle House #2238","36.514771","-87.298126","1931 Madison Street, Clarksville, TN, 37043","1931 Madison Street","Clarksville","TN","37043","Montgomery","931-561-1119","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/178140/waffle-house-2238","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/1931+Madison+Street,+Clarksville,+TN,+37043,+USA/"
"179848","Waffle House #2282","35.875097","-86.352681","2107 Lascassas Pike, Murfreesboro, TN, 37130","2107 Lascassas Pike","Murfreesboro","TN","37130","Rutherford","615-556-7183","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/179848/waffle-house-2282","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/2107+Lascassas+Pike,+Murfreesboro,+TN,+37130,+USA/"
"179567","Waffle House #1993","36.426061","-82.317307","6576 Hwy 11 East, Piney Flats, TN, 37686","6576 Hwy 11 East","Piney Flats","TN","37686","Sullivan","423-391-0067","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/179567/waffle-house-1993","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/6576+Hwy+11+East,+Piney+Flats,+TN,+37686,+USA/"
"179645","Waffle House #913","35.212382","-84.868961","113 James Ashbury Dr, Cleveland, TN, 37312","113 James Ashbury Dr","Cleveland","TN","37312","Bradley","423-339-8234","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/179645/waffle-house-913","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/113+James+Ashbury+Dr,+Cleveland,+TN,+37312,+USA/"
"178988","Waffle House #1654","35.083692","-85.204135","4343 Highway 58, Chattanooga, TN, 37416","4343 Highway 58","Chattanooga","TN","37416","Hamilton","423-892-9994","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/178988/waffle-house-1654","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/4343+Highway+58,+Chattanooga,+TN,+37416,+USA/"
"179850","Waffle House #2154","35.8354","-86.3513","3009 S Rutherford, Murfreesboro, TN, 37130","3009 S Rutherford","Murfreesboro","TN","37130","Rutherford","615-217-4449","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/179850/waffle-house-2154","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/3009+S+Rutherford,+Murfreesboro,+TN,+37130,+USA/"
"179837","Waffle House #152","35.459534","-86.055018","69 Expressway Dr, Manchester, TN, 37355","69 Expressway Dr","Manchester","TN","37355","Coffee","931-728-1167","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/179837/waffle-house-152","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/69+Expressway+Dr,+Manchester,+TN,+37355,+USA/"
"178993","Waffle House #555","35.04262","-85.15872","7047 Amin Drive, Chattanooga, TN, 37421","7047 Amin Drive","Chattanooga","TN","37421","Hamilton","423-899-3888","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/178993/waffle-house-555","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/7047+Amin+Drive,+Chattanooga,+TN,+37421,+USA/"
"178567","Waffle House #1105","36.00574178","-83.77258436","7414 Strawberry, Knoxville, TN, 37924","7414 Strawberry","Knoxville","TN","37924","Knox","865-932-2454","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/178567/waffle-house-1105","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/7414+Strawberry,+Knoxville,+TN,+37924,+USA/"
"179828","Waffle House #444","35.907575","-84.147356","507 Lovell Rd, Knoxville, TN, 37922","507 Lovell Rd","Knoxville","TN","37922","Knox","865-671-0318","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/179828/waffle-house-444","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/507+Lovell+Rd,+Knoxville,+TN,+37922,+USA/"
"178558","Waffle House #1083","36.133031","-85.5038","1121 S Jefferson Av, Cookeville, TN, 38506","1121 S Jefferson Av","Cookeville","TN","38506","Putnam","931-372-9229","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/178558/waffle-house-1083","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/1121+S+Jefferson+Av,+Cookeville,+TN,+38506,+USA/"
"179648","Waffle House #989","35.636817","-87.016568","1104 Nashville Hwy, Columbia, TN, 38401","1104 Nashville Hwy","Columbia","TN","38401","Maury","931-381-2132","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/179648/waffle-house-989","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/1104+Nashville+Hwy,+Columbia,+TN,+38401,+USA/"
"178408","Waffle House #2353","36.5902","-82.265","275 Pinnacle Pkwy, Bristol, TN, 37620","275 Pinnacle Pkwy","Bristol","TN","37620","Sullivan","423-217-7605","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/178408/waffle-house-2353","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/275+Pinnacle+Pkwy,+Bristol,+TN,+37620,+USA/"
"179565","Waffle House #661","35.083956","-85.075722","8912 Lee Hwy, Ooltewah, TN, 37363","8912 Lee Hwy","Ooltewah","TN","37363","Hamilton","423-238-4480","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/179565/waffle-house-661","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/8912+Lee+Hwy,+Ooltewah,+TN,+37363,+USA/"
"179818","Waffle House #2280","35.674914","-88.780694","85 Parkstone Place, Jackson, TN, 38305","85 Parkstone Place","Jackson","TN","38305","Madison","731-394-1887","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/179818/waffle-house-2280","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/85+Parkstone+Place,+Jackson,+TN,+38305,+USA/"
